,SalePrice,MSZoning,HeatingQC,BedroomAbvGr,GarageArea,YrSold,YearBuilt,LotArea,FullBath,YrSold - YearBuilt
0,208500.0,RL,Ex,3,548.0,2008,2003,8450,2,5
1,181500.0,RL,Ex,3,460.0,2007,1976,9600,2,31
2,223500.0,RL,Ex,3,608.0,2008,2001,11250,2,7
3,140000.0,RL,Gd,3,642.0,2006,1915,9550,1,91
4,250000.0,RL,Ex,4,836.0,2008,2000,14260,2,8
5,143000.0,RL,Ex,1,480.0,2009,1993,14115,1,16
6,307000.0,RL,Ex,3,636.0,2007,2004,10084,2,3
7,200000.0,RL,Ex,3,484.0,2009,1973,10382,2,36
8,129900.0,RM,Gd,2,468.0,2008,1931,6120,2,77
9,118000.0,RL,Ex,2,205.0,2008,1939,7420,1,69
10,129500.0,RL,Ex,3,384.0,2008,1965,11200,1,43
11,345000.0,RL,Ex,4,736.0,2006,2005,11924,3,1
12,144000.0,RL,TA,2,352.0,2008,1962,12968,1,46
13,279500.0,RL,Ex,3,840.0,2007,2006,10652,2,1
14,157000.0,RL,TA,2,352.0,2008,1960,10920,1,48
15,132000.0,RM,Ex,2,576.0,2007,1929,6120,1,78
16,149000.0,RL,Ex,2,480.0,2010,1970,11241,1,40
17,90000.0,RL,TA,2,516.0,2006,1967,10791,2,39
18,159000.0,RL,Ex,3,576.0,2008,2004,13695,1,4
19,139000.0,RL,TA,3,294.0,2009,1958,7560,1,51
20,325300.0,RL,Ex,4,853.0,2006,2005,14215,3,1
21,139400.0,RM,Ex,3,280.0,2007,1930,7449,1,77
22,230000.0,RL,Ex,3,534.0,2008,2002,9742,2,6
23,129900.0,RM,TA,3,572.0,2007,1976,4224,1,31
24,154000.0,RL,Ex,3,270.0,2010,1968,8246,1,42
25,256300.0,RL,Ex,3,890.0,2009,2007,14230,2,2
26,134800.0,RL,TA,3,576.0,2010,1951,7200,1,59
27,306000.0,RL,Ex,3,772.0,2010,2007,11478,2,3
28,207500.0,RL,TA,2,319.0,2006,1957,16321,1,49
29,68500.0,RM,Fa,1,240.0,2008,1927,6324,1,81
30,40000.0,C (all),TA,3,250.0,2008,1920,8500,1,88
31,149350.0,RL,Gd,3,271.0,2008,1966,8544,1,42
32,179900.0,RL,Ex,3,484.0,2008,2007,11049,2,1
33,165500.0,RL,Gd,4,447.0,2010,1959,10552,1,51
34,277500.0,RL,Ex,2,556.0,2007,2005,7313,2,2
35,309000.0,RL,Ex,4,691.0,2006,2004,13418,3,2
36,145000.0,RL,Ex,3,672.0,2009,1994,10859,1,15
37,153000.0,RL,Gd,3,498.0,2009,1954,8532,1,55
38,109000.0,RL,TA,3,246.0,2010,1953,7922,1,57
39,82000.0,RL,TA,2,0.0,2008,1955,6040,2,53
40,160000.0,RL,Ex,3,440.0,2006,1965,8658,2,41
41,170000.0,RL,Gd,2,308.0,2007,1959,16905,1,48
42,144000.0,RL,Gd,2,504.0,2007,1983,9180,1,24
43,130250.0,RL,TA,3,308.0,2008,1975,9200,1,33
44,141000.0,RL,Ex,3,300.0,2006,1959,7945,1,47
45,319900.0,RL,Ex,2,576.0,2010,2005,7658,2,5
46,239686.0,RL,Ex,1,670.0,2009,2003,12822,1,6
47,249700.0,FV,Ex,3,826.0,2007,2006,11096,2,1
48,113000.0,RM,Gd,2,0.0,2009,1920,4456,2,89
49,127000.0,RL,Ex,3,386.0,2007,1966,7742,1,41
50,177000.0,RL,Gd,3,388.0,2007,1997,13869,2,10
51,114500.0,RM,TA,3,528.0,2006,1934,6240,1,72
52,110000.0,RM,TA,2,516.0,2010,1963,8472,1,47
53,385000.0,RL,Gd,0,894.0,2006,1981,50271,0,25
54,130000.0,RL,TA,3,572.0,2007,1955,7134,1,52
55,180500.0,RL,Gd,3,576.0,2008,1964,10175,2,44
56,172500.0,FV,Ex,3,480.0,2009,1999,2645,2,10
57,196500.0,RL,Ex,3,565.0,2006,2004,11645,2,2
58,438780.0,RL,Ex,3,641.0,2006,2006,13682,3,0
59,124900.0,RL,Ex,2,352.0,2008,1972,7200,1,36
60,158000.0,RL,Ex,3,576.0,2006,2004,13072,1,2
61,101000.0,RM,TA,3,288.0,2007,1920,7200,1,87
62,202500.0,RL,Ex,2,484.0,2007,2006,6442,2,1
63,140000.0,RM,Gd,3,480.0,2010,1921,10300,2,89
64,219500.0,RL,Ex,3,645.0,2009,1997,9375,2,12
65,317000.0,RL,Ex,4,852.0,2007,2004,9591,2,3
66,180000.0,RL,TA,3,576.0,2010,1970,19900,2,40
67,226000.0,RL,Ex,3,558.0,2007,2003,10665,2,4
68,80000.0,RM,TA,2,220.0,2010,1945,4608,1,65
69,225000.0,RL,TA,3,667.0,2006,1953,15593,2,53
70,244000.0,RL,Ex,3,516.0,2007,1973,13651,2,34
71,129500.0,RL,TA,2,360.0,2007,1982,7599,1,25
72,185000.0,RL,Gd,3,427.0,2009,1998,10141,2,11
73,144900.0,RL,Gd,3,490.0,2010,1954,10200,1,56
74,107400.0,RM,Gd,3,379.0,2010,1915,5790,2,95
75,91000.0,RM,TA,2,297.0,2009,1973,1596,1,36
76,135750.0,RL,Ex,2,283.0,2008,1956,8475,1,52
77,127000.0,RM,TA,2,240.0,2008,1948,8635,1,60
78,136500.0,RL,TA,4,0.0,2010,1968,10778,2,42
79,110000.0,RM,Gd,2,440.0,2009,1910,10440,1,99
80,193500.0,RL,TA,4,509.0,2009,1968,13000,2,41
81,153500.0,RM,Ex,2,405.0,2006,1998,4500,2,8
82,245000.0,RL,Ex,3,758.0,2008,2007,10206,2,1
83,126500.0,RL,Gd,3,461.0,2007,1960,8892,1,47
84,168500.0,RL,Gd,3,400.0,2009,1995,8530,2,14
85,260000.0,RL,Ex,4,462.0,2006,1991,16059,2,15
86,174000.0,RL,Ex,3,400.0,2009,2005,11911,2,4
87,164500.0,FV,Ex,2,528.0,2009,2009,3951,2,0
88,85000.0,C (all),TA,2,0.0,2009,1915,8470,1,94
89,123600.0,RL,Ex,3,0.0,2007,1994,8070,1,13
