Preço da venda,Zona,Qualidade do Aquecimento,Número de Quartos,Área da Garagem,Área do Lote,Número de Banheiros,Idade do Imóvel,Alta Densidade Residencial,Baixa Densidade Residencial,Comercial,Média Densidade Residencial,Vila Flutuante Residencial,Bom,Excelente,Médio,Razoável,Ruim
208500.0,Baixa Densidade Residencial,Excelente,3,548.0,8450,2,5,0,1,0,0,0,0,1,0,0,0
181500.0,Baixa Densidade Residencial,Excelente,3,460.0,9600,2,31,0,1,0,0,0,0,1,0,0,0
223500.0,Baixa Densidade Residencial,Excelente,3,608.0,11250,2,7,0,1,0,0,0,0,1,0,0,0
140000.0,Baixa Densidade Residencial,Bom,3,642.0,9550,1,91,0,1,0,0,0,1,0,0,0,0
250000.0,Baixa Densidade Residencial,Excelente,4,836.0,14260,2,8,0,1,0,0,0,0,1,0,0,0
143000.0,Baixa Densidade Residencial,Excelente,1,480.0,14115,1,16,0,1,0,0,0,0,1,0,0,0
307000.0,Baixa Densidade Residencial,Excelente,3,636.0,10084,2,3,0,1,0,0,0,0,1,0,0,0
200000.0,Baixa Densidade Residencial,Excelente,3,484.0,10382,2,36,0,1,0,0,0,0,1,0,0,0
129900.0,Média Densidade Residencial,Bom,2,468.0,6120,2,77,0,0,0,1,0,1,0,0,0,0
118000.0,Baixa Densidade Residencial,Excelente,2,205.0,7420,1,69,0,1,0,0,0,0,1,0,0,0
129500.0,Baixa Densidade Residencial,Excelente,3,384.0,11200,1,43,0,1,0,0,0,0,1,0,0,0
345000.0,Baixa Densidade Residencial,Excelente,4,736.0,11924,3,1,0,1,0,0,0,0,1,0,0,0
144000.0,Baixa Densidade Residencial,Médio,2,352.0,12968,1,46,0,1,0,0,0,0,0,1,0,0
279500.0,Baixa Densidade Residencial,Excelente,3,840.0,10652,2,1,0,1,0,0,0,0,1,0,0,0
157000.0,Baixa Densidade Residencial,Médio,2,352.0,10920,1,48,0,1,0,0,0,0,0,1,0,0
132000.0,Média Densidade Residencial,Excelente,2,576.0,6120,1,78,0,0,0,1,0,0,1,0,0,0
149000.0,Baixa Densidade Residencial,Excelente,2,480.0,11241,1,40,0,1,0,0,0,0,1,0,0,0
90000.0,Baixa Densidade Residencial,Médio,2,516.0,10791,2,39,0,1,0,0,0,0,0,1,0,0
159000.0,Baixa Densidade Residencial,Excelente,3,576.0,13695,1,4,0,1,0,0,0,0,1,0,0,0
139000.0,Baixa Densidade Residencial,Médio,3,294.0,7560,1,51,0,1,0,0,0,0,0,1,0,0
325300.0,Baixa Densidade Residencial,Excelente,4,853.0,14215,3,1,0,1,0,0,0,0,1,0,0,0
139400.0,Média Densidade Residencial,Excelente,3,280.0,7449,1,77,0,0,0,1,0,0,1,0,0,0
230000.0,Baixa Densidade Residencial,Excelente,3,534.0,9742,2,6,0,1,0,0,0,0,1,0,0,0
129900.0,Média Densidade Residencial,Médio,3,572.0,4224,1,31,0,0,0,1,0,0,0,1,0,0
154000.0,Baixa Densidade Residencial,Excelente,3,270.0,8246,1,42,0,1,0,0,0,0,1,0,0,0
256300.0,Baixa Densidade Residencial,Excelente,3,890.0,14230,2,2,0,1,0,0,0,0,1,0,0,0
134800.0,Baixa Densidade Residencial,Médio,3,576.0,7200,1,59,0,1,0,0,0,0,0,1,0,0
306000.0,Baixa Densidade Residencial,Excelente,3,772.0,11478,2,3,0,1,0,0,0,0,1,0,0,0
207500.0,Baixa Densidade Residencial,Médio,2,319.0,16321,1,49,0,1,0,0,0,0,0,1,0,0
68500.0,Média Densidade Residencial,Razoável,1,240.0,6324,1,81,0,0,0,1,0,0,0,0,1,0
40000.0,Comercial,Médio,3,250.0,8500,1,88,0,0,1,0,0,0,0,1,0,0
149350.0,Baixa Densidade Residencial,Bom,3,271.0,8544,1,42,0,1,0,0,0,1,0,0,0,0
179900.0,Baixa Densidade Residencial,Excelente,3,484.0,11049,2,1,0,1,0,0,0,0,1,0,0,0
165500.0,Baixa Densidade Residencial,Bom,4,447.0,10552,1,51,0,1,0,0,0,1,0,0,0,0
277500.0,Baixa Densidade Residencial,Excelente,2,556.0,7313,2,2,0,1,0,0,0,0,1,0,0,0
309000.0,Baixa Densidade Residencial,Excelente,4,691.0,13418,3,2,0,1,0,0,0,0,1,0,0,0
145000.0,Baixa Densidade Residencial,Excelente,3,672.0,10859,1,15,0,1,0,0,0,0,1,0,0,0
153000.0,Baixa Densidade Residencial,Bom,3,498.0,8532,1,55,0,1,0,0,0,1,0,0,0,0
109000.0,Baixa Densidade Residencial,Médio,3,246.0,7922,1,57,0,1,0,0,0,0,0,1,0,0
82000.0,Baixa Densidade Residencial,Médio,2,0.0,6040,2,53,0,1,0,0,0,0,0,1,0,0
160000.0,Baixa Densidade Residencial,Excelente,3,440.0,8658,2,41,0,1,0,0,0,0,1,0,0,0
170000.0,Baixa Densidade Residencial,Bom,2,308.0,16905,1,48,0,1,0,0,0,1,0,0,0,0
144000.0,Baixa Densidade Residencial,Bom,2,504.0,9180,1,24,0,1,0,0,0,1,0,0,0,0
130250.0,Baixa Densidade Residencial,Médio,3,308.0,9200,1,33,0,1,0,0,0,0,0,1,0,0
141000.0,Baixa Densidade Residencial,Excelente,3,300.0,7945,1,47,0,1,0,0,0,0,1,0,0,0
319900.0,Baixa Densidade Residencial,Excelente,2,576.0,7658,2,5,0,1,0,0,0,0,1,0,0,0
239686.0,Baixa Densidade Residencial,Excelente,1,670.0,12822,1,6,0,1,0,0,0,0,1,0,0,0
249700.0,Vila Flutuante Residencial,Excelente,3,826.0,11096,2,1,0,0,0,0,1,0,1,0,0,0
113000.0,Média Densidade Residencial,Bom,2,0.0,4456,2,89,0,0,0,1,0,1,0,0,0,0
127000.0,Baixa Densidade Residencial,Excelente,3,386.0,7742,1,41,0,1,0,0,0,0,1,0,0,0
177000.0,Baixa Densidade Residencial,Bom,3,388.0,13869,2,10,0,1,0,0,0,1,0,0,0,0
114500.0,Média Densidade Residencial,Médio,3,528.0,6240,1,72,0,0,0,1,0,0,0,1,0,0
110000.0,Média Densidade Residencial,Médio,2,516.0,8472,1,47,0,0,0,1,0,0,0,1,0,0
385000.0,Baixa Densidade Residencial,Bom,0,894.0,50271,0,25,0,1,0,0,0,1,0,0,0,0
130000.0,Baixa Densidade Residencial,Médio,3,572.0,7134,1,52,0,1,0,0,0,0,0,1,0,0
180500.0,Baixa Densidade Residencial,Bom,3,576.0,10175,2,44,0,1,0,0,0,1,0,0,0,0
172500.0,Vila Flutuante Residencial,Excelente,3,480.0,2645,2,10,0,0,0,0,1,0,1,0,0,0
196500.0,Baixa Densidade Residencial,Excelente,3,565.0,11645,2,2,0,1,0,0,0,0,1,0,0,0
438780.0,Baixa Densidade Residencial,Excelente,3,641.0,13682,3,0,0,1,0,0,0,0,1,0,0,0
124900.0,Baixa Densidade Residencial,Excelente,2,352.0,7200,1,36,0,1,0,0,0,0,1,0,0,0
158000.0,Baixa Densidade Residencial,Excelente,3,576.0,13072,1,2,0,1,0,0,0,0,1,0,0,0
101000.0,Média Densidade Residencial,Médio,3,288.0,7200,1,87,0,0,0,1,0,0,0,1,0,0
202500.0,Baixa Densidade Residencial,Excelente,2,484.0,6442,2,1,0,1,0,0,0,0,1,0,0,0
140000.0,Média Densidade Residencial,Bom,3,480.0,10300,2,89,0,0,0,1,0,1,0,0,0,0
219500.0,Baixa Densidade Residencial,Excelente,3,645.0,9375,2,12,0,1,0,0,0,0,1,0,0,0
317000.0,Baixa Densidade Residencial,Excelente,4,852.0,9591,2,3,0,1,0,0,0,0,1,0,0,0
180000.0,Baixa Densidade Residencial,Médio,3,576.0,19900,2,40,0,1,0,0,0,0,0,1,0,0
226000.0,Baixa Densidade Residencial,Excelente,3,558.0,10665,2,4,0,1,0,0,0,0,1,0,0,0
80000.0,Média Densidade Residencial,Médio,2,220.0,4608,1,65,0,0,0,1,0,0,0,1,0,0
225000.0,Baixa Densidade Residencial,Médio,3,667.0,15593,2,53,0,1,0,0,0,0,0,1,0,0
244000.0,Baixa Densidade Residencial,Excelente,3,516.0,13651,2,34,0,1,0,0,0,0,1,0,0,0
129500.0,Baixa Densidade Residencial,Médio,2,360.0,7599,1,25,0,1,0,0,0,0,0,1,0,0
185000.0,Baixa Densidade Residencial,Bom,3,427.0,10141,2,11,0,1,0,0,0,1,0,0,0,0
144900.0,Baixa Densidade Residencial,Bom,3,490.0,10200,1,56,0,1,0,0,0,1,0,0,0,0
107400.0,Média Densidade Residencial,Bom,3,379.0,5790,2,95,0,0,0,1,0,1,0,0,0,0
91000.0,Média Densidade Residencial,Médio,2,297.0,1596,1,36,0,0,0,1,0,0,0,1,0,0
135750.0,Baixa Densidade Residencial,Excelente,2,283.0,8475,1,52,0,1,0,0,0,0,1,0,0,0
127000.0,Média Densidade Residencial,Médio,2,240.0,8635,1,60,0,0,0,1,0,0,0,1,0,0
136500.0,Baixa Densidade Residencial,Médio,4,0.0,10778,2,42,0,1,0,0,0,0,0,1,0,0
110000.0,Média Densidade Residencial,Bom,2,440.0,10440,1,99,0,0,0,1,0,1,0,0,0,0
193500.0,Baixa Densidade Residencial,Médio,4,509.0,13000,2,41,0,1,0,0,0,0,0,1,0,0
153500.0,Média Densidade Residencial,Excelente,2,405.0,4500,2,8,0,0,0,1,0,0,1,0,0,0
245000.0,Baixa Densidade Residencial,Excelente,3,758.0,10206,2,1,0,1,0,0,0,0,1,0,0,0
126500.0,Baixa Densidade Residencial,Bom,3,461.0,8892,1,47,0,1,0,0,0,1,0,0,0,0
168500.0,Baixa Densidade Residencial,Bom,3,400.0,8530,2,14,0,1,0,0,0,1,0,0,0,0
260000.0,Baixa Densidade Residencial,Excelente,4,462.0,16059,2,15,0,1,0,0,0,0,1,0,0,0
174000.0,Baixa Densidade Residencial,Excelente,3,400.0,11911,2,4,0,1,0,0,0,0,1,0,0,0
164500.0,Vila Flutuante Residencial,Excelente,2,528.0,3951,2,0,0,0,0,0,1,0,1,0,0,0
85000.0,Comercial,Médio,2,0.0,8470,1,94,0,0,1,0,0,0,0,1,0,0
123600.0,Baixa Densidade Residencial,Excelente,3,0.0,8070,1,13,0,1,0,0,0,0,1,0,0,0
109900.0,Baixa Densidade Residencial,Médio,2,420.0,7200,1,56,0,1,0,0,0,0,0,1,0,0
98600.0,Baixa Densidade Residencial,Médio,2,480.0,8500,1,45,0,1,0,0,0,0,0,1,0,0
163500.0,Baixa Densidade Residencial,Excelente,2,432.0,13360,1,88,0,1,0,0,0,0,1,0,0,0
133900.0,Comercial,Excelente,4,506.0,7200,2,97,0,0,1,0,0,0,1,0,0,0
204750.0,Baixa Densidade Residencial,Excelente,3,684.0,9337,2,10,0,1,0,0,0,0,1,0,0,0
185000.0,Baixa Densidade Residencial,Bom,3,420.0,9765,2,16,0,1,0,0,0,1,0,0,0,0
214000.0,Baixa Densidade Residencial,Excelente,3,472.0,10264,2,7,0,1,0,0,0,0,1,0,0,0
94750.0,Baixa Densidade Residencial,Médio,3,432.0,10921,1,42,0,1,0,0,0,0,0,1,0,0
83000.0,Baixa Densidade Residencial,Razoável,2,366.0,10625,1,90,0,1,0,0,0,0,0,0,1,0
128950.0,Baixa Densidade Residencial,Razoável,3,0.0,9320,1,51,0,1,0,0,0,0,0,0,1,0
205000.0,Baixa Densidade Residencial,Bom,3,480.0,10603,2,33,0,1,0,0,0,1,0,0,0,0
178000.0,Baixa Densidade Residencial,Médio,3,476.0,9206,2,25,0,1,0,0,0,0,0,1,0,0
118964.0,Baixa Densidade Residencial,Médio,4,410.0,7018,2,30,0,1,0,0,0,0,0,1,0,0
198900.0,Baixa Densidade Residencial,Excelente,3,740.0,10402,2,1,0,1,0,0,0,0,1,0,0,0
169500.0,Média Densidade Residencial,Excelente,4,240.0,7758,1,76,0,0,0,1,0,0,1,0,0,0
250000.0,Vila Flutuante Residencial,Excelente,3,648.0,9375,2,5,0,0,0,0,1,0,1,0,0,0
100000.0,Média Densidade Residencial,Bom,2,273.0,10800,1,122,0,0,0,1,0,1,0,0,0,0
115000.0,Média Densidade Residencial,Excelente,2,250.0,6000,1,60,0,0,0,1,0,0,1,0,0,0
115000.0,Média Densidade Residencial,Médio,3,0.0,8500,2,88,0,0,0,1,0,0,0,1,0,0
190000.0,Baixa Densidade Residencial,Excelente,3,546.0,11751,2,33,0,1,0,0,0,0,1,0,0,0
136900.0,Baixa Densidade Residencial,Bom,4,325.0,9525,2,52,0,1,0,0,0,1,0,0,0,0
180000.0,Baixa Densidade Residencial,Excelente,3,400.0,7750,2,10,0,1,0,0,0,0,1,0,0,0
383970.0,Baixa Densidade Residencial,Excelente,4,792.0,9965,2,0,0,1,0,0,0,0,1,0,0,0
217000.0,Baixa Densidade Residencial,Médio,3,450.0,21000,2,54,0,1,0,0,0,0,0,1,0,0
259500.0,Baixa Densidade Residencial,Excelente,3,180.0,7259,2,62,0,1,0,0,0,0,1,0,0,0
